case_number,court_id,state,district,judge_id,case_type,case_category,bench_type,current_stage,stage_index,filing_date,case_age_days,stage_age_days,hearings_held,adjournments,adjournment_rate,stagnation_flag,is_undertrial,district_avg_disposal_days,statutory_deadline_days,days_beyond_statutory,disposal_days,delay_risk_score,delay_risk_label,case_age_normalized,hearing_density,stage_completion_ratio,case_type_enc,case_category_enc,bench_type_enc,current_stage_enc,state_enc,legal_urgency_score,urgency_flags,predicted_disposal_days,ml_delay_risk_score,ml_delay_risk_label,priority_score,priority_label,priority_emoji,court_rank,docket_label
CASE/6177/2015,BIH-BHA-02,Bihar,Bhagalpur,JDG-703,Writ,SC_ST,Single_Judge,Arguments,5,2018-08-02,2343,5,74,32,0.43243243243243246,0,0,179,730,1613,51,66.7,High,3.2095890410958905,0.9475032010243278,0.7142857142857143,5,8,4,1,0,63.0,⚠️ STATUTORY DEADLINE BREACHED (2343d > 730d); 🔴 SC/ST PoA: Priority disposal required; 📛 Aged case: 6+ years pending,51,66.7,High,77.7,Critical,🔴,2,[#2] 🔴 Critical
CASE/3754/2023,BIH-BHA-02,Bihar,Bhagalpur,JDG-806,Appeal,SC_ST,Full_Bench,Execution,7,2018-12-24,2199,37,53,16,0.3018867924528302,1,0,182,730,1469,53,66.7,High,3.0123287671232877,0.723055934515689,1.0,0,8,1,3,0,63.0,⚠️ STATUTORY DEADLINE BREACHED (2199d > 730d); 🔴 SC/ST PoA: Priority disposal required; 📛 Aged case: 6+ years pending,53,66.7,High,77.41,Critical,🔴,3,[#3] 🔴 Critical
CASE/5716/2022,BIH-BHA-02,Bihar,Bhagalpur,JDG-363,Appeal,Senior_Citizen,Full_Bench,Execution,7,2018-04-24,2443,35,56,22,0.39285714285714285,1,0,75,180,2263,50,66.7,High,13.572222222222223,0.6876790830945558,1.0,0,9,1,3,0,60.0,⚠️ STATUTORY DEADLINE BREACHED (2443d > 180d); 🟠 Senior Citizen: Expedited disposal mandated; 📛 Aged case: 6+ years pending,50,66.7,High,76.86,Critical,🔴,4,[#4] 🔴 Critical
CASE/6108/2015,BIH-BHA-02,Bihar,Bhagalpur,JDG-841,Writ,SC_ST,Sessions,Judgment,6,2016-08-24,3051,17,65,23,0.35384615384615387,0,0,230,730,2321,49,33.3,Medium,4.17945205479452,0.63913470993117,0.8571428571428571,5,8,3,5,0,63.0,⚠️ STATUTORY DEADLINE BREACHED (3051d > 730d); 🔴 SC/ST PoA: Priority disposal required; 📛 Aged case: 8+ years pending,49,33.3,Medium,72.48,High,🟠,5,[#5] 🟠 High
CASE/0285/2019,BIH-BHA-02,Bihar,Bhagalpur,JDG-497,Criminal,POCSO,Division_Bench,Execution,7,2018-05-22,2415,4,67,25,0.373134328358209,0,0,157,365,2050,47,33.3,Medium,6.616438356164384,0.8322981366459627,1.0,2,6,0,3,0,65.0,⚠️ STATUTORY DEADLINE BREACHED (2415d > 365d); 🔴 POCSO: Mandatory speedy trial (Sec 35); 📛 Aged case: 6+ years pending,47,33.3,Medium,71.87,High,🟠,6,[#6] 🟠 High
CASE/1977/2017,BIH-BHA-02,Bihar,Bhagalpur,JDG-625,Writ,POCSO,Division_Bench,Execution,7,2018-08-26,2319,6,50,16,0.32,0,0,109,365,1954,48,33.3,Medium,6.353424657534247,0.646830530401035,1.0,5,6,0,3,0,65.0,⚠️ STATUTORY DEADLINE BREACHED (2319d > 365d); 🔴 POCSO: Mandatory speedy trial (Sec 35); 📛 Aged case: 6+ years pending,48,33.3,Medium,71.68,High,🟠,7,[#7] 🟠 High
CASE/6195/2021,BIH-BHA-02,Bihar,Bhagalpur,JDG-736,Civil,SC_ST,Sessions,Execution,7,2018-07-23,2353,11,66,20,0.30303030303030304,0,0,194,730,1623,50,33.3,Medium,3.223287671232877,0.8414789630259243,1.0,1,8,3,3,0,63.0,⚠️ STATUTORY DEADLINE BREACHED (2353d > 730d); 🔴 SC/ST PoA: Priority disposal required; 📛 Aged case: 6+ years pending,50,33.3,Medium,71.04,High,🟠,8,[#8] 🟠 High
CASE/6627/2020,BIH-BHA-02,Bihar,Bhagalpur,JDG-803,Revision,Senior_Citizen,Division_Bench,Arguments,5,2017-07-11,2730,8,74,21,0.28378378378378377,0,0,93,180,2550,44,33.3,Medium,15.166666666666666,0.8131868131868132,0.7142857142857143,4,9,0,1,0,60.0,⚠️ STATUTORY DEADLINE BREACHED (2730d > 180d); 🟠 Senior Citizen: Expedited disposal mandated; 📛 Aged case: 7+ years pending,44,33.3,Medium,70.77,High,🟠,9,[#9] 🟠 High
CASE/4405/2024,BIH-BHA-02,Bihar,Bhagalpur,JDG-615,Appeal,POCSO,Sessions,Execution,7,2022-09-04,849,2,19,10,0.5263157894736842,0,0,138,365,484,46,66.7,Medium,2.326027397260274,0.6713780918727915,1.0,0,6,3,3,0,55.0,⚠️ STATUTORY DEADLINE BREACHED (849d > 365d); 🔴 POCSO: Mandatory speedy trial (Sec 35),46,66.7,High,67.56,High,🟠,10,[#10] 🟠 High
CASE/6233/2016,BIH-BHA-02,Bihar,Bhagalpur,JDG-158,Writ,SC_ST,Magistrate,Execution,7,2020-10-11,1542,8,35,16,0.45714285714285713,0,0,145,730,812,47,33.3,Medium,2.1123287671232878,0.6809338521400778,1.0,5,8,2,3,0,58.0,⚠️ STATUTORY DEADLINE BREACHED (1542d > 730d); 🔴 SC/ST PoA: Priority disposal required; 📛 Long-pending: 4+ years,47,33.3,Medium,66.76,High,🟠,11,[#11] 🟠 High
CASE/1772/2016,BIH-BHA-02,Bihar,Bhagalpur,JDG-883,Revision,NDPS,Full_Bench,Arguments,5,2017-04-17,2815,25,56,14,0.25,0,0,470,1095,1720,48,33.3,Medium,2.5707762557077625,0.5968028419182949,0.7142857142857143,4,5,1,1,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (2815d > 1095d); 📛 Aged case: 7+ years pending,48,33.3,Medium,65.69,High,🟠,12,[#12] 🟠 High
CASE/1190/2019,BIH-BHA-02,Bihar,Bhagalpur,JDG-539,Revision,Motor_Accident,Single_Judge,Execution,7,2018-06-16,2390,8,52,13,0.25,0,0,613,1825,565,46,33.3,Medium,1.3095890410958904,0.6527196652719665,1.0,4,4,4,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (2390d > 1825d); 📛 Aged case: 6+ years pending,46,33.3,Medium,63.16,High,🟠,13,[#13] 🟠 High
CASE/8129/2022,BIH-BHA-02,Bihar,Bhagalpur,JDG-557,Execution,POCSO,Full_Bench,Judgment,6,2022-09-03,850,21,20,8,0.4,0,0,156,365,485,45,33.3,High,2.328767123287671,0.7058823529411765,0.8571428571428571,3,6,1,5,0,55.0,⚠️ STATUTORY DEADLINE BREACHED (850d > 365d); 🔴 POCSO: Mandatory speedy trial (Sec 35),45,33.3,Medium,60.89,High,🟠,14,[#14] 🟠 High
CASE/4468/2017,BIH-BHA-02,Bihar,Bhagalpur,JDG-936,Revision,General_Civil,Magistrate,Judgment,6,2023-04-01,640,154,17,4,0.23529411764705882,0,0,1030,2190,0,268,0.0,Low,0.2922374429223744,0.796875,0.8571428571428571,4,1,2,5,0,15.0,🟥 Critical stagnation: 154d in 'Judgment' stage (limit 60d),268,0.0,Low,21.86,Low,🟢,15,[#15] 🟢 Low
CASE/7744/2020,BIH-BHA-03,Bihar,Bhagalpur,JDG-800,Civil,Senior_Citizen,Single_Judge,Execution,7,2017-04-30,2802,34,73,27,0.3698630136986301,1,0,101,180,2622,51,66.7,High,15.566666666666666,0.7815845824411134,1.0,1,9,4,3,0,60.0,⚠️ STATUTORY DEADLINE BREACHED (2802d > 180d); 🟠 Senior Citizen: Expedited disposal mandated; 📛 Aged case: 7+ years pending,51,66.7,High,77.6,Critical,🔴,1,[#1] 🔴 Critical
CASE/5524/2024,BIH-BHA-03,Bihar,Bhagalpur,JDG-627,Civil,Senior_Citizen,Division_Bench,Arguments,5,2017-11-22,2596,0,59,24,0.4067796610169492,0,0,84,180,2416,44,66.7,High,14.422222222222222,0.6818181818181819,0.7142857142857143,1,9,0,1,0,60.0,⚠️ STATUTORY DEADLINE BREACHED (2596d > 180d); 🟠 Senior Citizen: Expedited disposal mandated; 📛 Aged case: 7+ years pending,44,66.7,High,77.17,Critical,🔴,2,[#2] 🔴 Critical
CASE/4711/2017,BIH-BHA-03,Bihar,Bhagalpur,JDG-980,Execution,General_Criminal,Single_Judge,Arguments,5,2018-11-03,2250,36,63,19,0.30158730158730157,0,0,549,730,1520,48,33.3,Medium,3.0821917808219177,0.84,0.7142857142857143,3,2,4,1,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (2250d > 730d); 📛 Aged case: 6+ years pending,48,33.3,Medium,64.53,High,🟠,3,[#3] 🟠 High
CASE/5216/2017,BIH-BHA-03,Bihar,Bhagalpur,JDG-935,Writ,General_Civil,Full_Bench,Execution,7,2017-05-06,2796,5,71,22,0.30985915492957744,0,0,979,2190,606,49,33.3,Medium,1.2767123287671234,0.7618025751072961,1.0,5,1,1,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (2796d > 2190d); 📛 Aged case: 7+ years pending,49,33.3,Medium,63.53,High,🟠,4,[#4] 🟠 High
CASE/3711/2023,BIH-BHA-03,Bihar,Bhagalpur,JDG-910,Criminal,Motor_Accident,Division_Bench,Execution,7,2019-05-26,2046,13,54,25,0.46296296296296297,0,0,808,1825,221,46,33.3,High,1.121095890410959,0.7917888563049853,1.0,2,4,0,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (2046d > 1825d); 📛 Aged case: 5+ years pending,46,33.3,Medium,59.81,High,🟠,5,[#5] 🟠 High
CASE/3997/2021,BIH-BHA-03,Bihar,Bhagalpur,JDG-160,Civil,General_Criminal,Full_Bench,Execution,7,2022-08-05,879,52,20,3,0.15,0,0,468,730,149,45,33.3,Medium,1.204109589041096,0.68259385665529,1.0,1,2,1,3,0,35.0,⚠️ STATUTORY DEADLINE BREACHED (879d > 730d),45,33.3,Medium,51.05,High,🟠,6,[#6] 🟠 High
CASE/0171/2024,BIH-BHA-03,Bihar,Bhagalpur,JDG-276,Writ,Matrimonial,Division_Bench,Arguments,5,2021-04-29,1342,37,30,15,0.5,0,0,597,1825,0,47,33.3,Medium,0.7353424657534247,0.6706408345752608,0.7142857142857143,5,3,0,1,0,20.0,📅 Past halfway of statutory limit; 📛 Long-pending: 3+ years,47,33.3,Medium,42.72,Medium,🟡,7,[#7] 🟡 Medium
CASE/8831/2016,BIH-BHA-03,Bihar,Bhagalpur,JDG-774,Revision,General_Civil,Division_Bench,Execution,7,2023-06-14,566,132,19,5,0.2631578947368421,0,0,724,2190,0,347,0.0,Low,0.25844748858447486,1.0070671378091873,1.0,4,1,0,3,0,0.0,No urgent flags,347,0.0,Low,15.12,Low,🟢,8,[#8] 🟢 Low
CASE/7075/2017,BIH-BHA-04,Bihar,Bhagalpur,JDG-937,Writ,SC_ST,Single_Judge,Execution,7,2017-08-04,2706,39,74,15,0.20270270270270271,1,0,221,730,1976,49,66.7,High,3.706849315068493,0.8203991130820398,1.0,5,8,4,3,0,63.0,⚠️ STATUTORY DEADLINE BREACHED (2706d > 730d); 🔴 SC/ST PoA: Priority disposal required; 📛 Aged case: 7+ years pending,49,66.7,High,78.45,Critical,🔴,1,[#1] 🔴 Critical
CASE/3720/2015,BIH-BHA-04,Bihar,Bhagalpur,JDG-293,Civil,Matrimonial,Magistrate,Arguments,5,2015-01-22,3631,76,86,34,0.3953488372093023,0,0,494,1825,1806,45,66.7,High,1.9895890410958905,0.7105480583861196,0.7142857142857143,1,3,2,1,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (3631d > 1825d); 📛 Aged case: 9+ years pending,45,66.7,High,74.05,High,🟠,2,[#2] 🟠 High
CASE/4044/2023,BIH-BHA-04,Bihar,Bhagalpur,JDG-862,Appeal,Matrimonial,Full_Bench,Execution,7,2018-10-12,2272,130,62,24,0.3870967741935484,1,0,698,1825,447,51,66.7,High,1.244931506849315,0.8186619718309859,1.0,0,3,1,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (2272d > 1825d); 📛 Aged case: 6+ years pending,51,66.7,High,68.69,High,🟠,3,[#3] 🟠 High
CASE/0996/2017,BIH-BHA-04,Bihar,Bhagalpur,JDG-656,Criminal,General_Criminal,Division_Bench,Judgment,6,2022-10-16,807,102,16,4,0.25,1,1,369,730,77,47,66.7,High,1.1054794520547946,0.5947955390334573,0.8571428571428571,2,2,0,5,0,65.0,⚠️ STATUTORY DEADLINE BREACHED (807d > 730d); 🔴 BNSS 479: Undertrial exceeds 1/3 max sentence (807d ≥ 608d); 🟠 Stagnation detected: 102d in 'Judgment' stage,47,66.7,High,66.11,High,🟠,4,[#4] 🟠 High
CASE/7069/2015,BIH-BHA-04,Bihar,Bhagalpur,JDG-174,Civil,Senior_Citizen,Division_Bench,Judgment,6,2022-09-27,826,19,14,3,0.21428571428571427,1,0,88,180,646,48,66.7,High,4.588888888888889,0.5084745762711864,0.8571428571428571,1,9,0,5,0,50.0,⚠️ STATUTORY DEADLINE BREACHED (826d > 180d); 🟠 Senior Citizen: Expedited disposal mandated,48,66.7,High,65.58,High,🟠,5,[#5] 🟠 High
CASE/6372/2021,BIH-BHA-04,Bihar,Bhagalpur,JDG-306,Revision,General_Criminal,Full_Bench,Arguments,5,2018-04-01,2466,48,58,18,0.3103448275862069,0,0,529,730,1736,50,33.3,High,3.378082191780822,0.7055961070559611,0.7142857142857143,4,2,1,1,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (2466d > 730d); 📛 Aged case: 6+ years pending,50,33.3,Medium,64.98,High,🟠,6,[#6] 🟠 High
CASE/8395/2019,BIH-BHA-04,Bihar,Bhagalpur,JDG-717,Civil,Commercial,Division_Bench,Execution,7,2020-08-20,1594,2,48,15,0.3125,0,0,298,365,1229,51,33.3,Medium,4.367123287671233,0.903387703889586,1.0,1,0,0,3,0,50.0,⚠️ STATUTORY DEADLINE BREACHED (1594d > 180d); ⚖️ Commercial Courts Act: Disposal overdue (>6 months); 📛 Long-pending: 4+ years,51,33.3,Medium,64.22,High,🟠,7,[#7] 🟠 High
CASE/5356/2017,BIH-BHA-04,Bihar,Bhagalpur,JDG-631,Appeal,Commercial,Sessions,Execution,7,2021-07-01,1279,8,23,9,0.391304347826087,0,0,230,365,914,49,33.3,High,3.504109589041096,0.5394839718530102,1.0,0,0,3,3,0,50.0,⚠️ STATUTORY DEADLINE BREACHED (1279d > 180d); ⚖️ Commercial Courts Act: Disposal overdue (>6 months); 📛 Long-pending: 3+ years,49,33.3,Medium,62.61,High,🟠,8,[#8] 🟠 High
CASE/5216/2022,BIH-BHA-04,Bihar,Bhagalpur,JDG-167,Civil,NDPS,Magistrate,Execution,7,2021-03-15,1387,31,29,6,0.20689655172413793,0,0,386,1095,292,46,33.3,Medium,1.2666666666666666,0.6272530641672674,1.0,1,5,2,3,0,40.0,⚠️ STATUTORY DEADLINE BREACHED (1387d > 1095d); 📛 Long-pending: 3+ years,46,33.3,Medium,57.39,High,🟠,9,[#9] 🟠 High
CASE/1776/2021,BIH-BHA-04,Bihar,Bhagalpur,JDG-304,Criminal,SC_ST,Magistrate,Execution,7,2023-08-13,506,3,11,4,0.36363636363636365,0,0,145,730,0,43,33.3,Medium,0.6931506849315069,0.6521739130434783,1.0,2,8,2,3,0,33.0,📅 Past halfway of statutory limit; 🔴 SC/ST PoA: Priority disposal required,43,33.3,Medium,38.6,Medium,🟡,10,[#10] 🟡 Medium
CASE/6123/2021,BIH-BHA-04,Bihar,Bhagalpur,JDG-524,Criminal,General_Civil,Single_Judge,Evidence,4,2022-12-02,760,55,15,4,0.26666666666666666,0,0,824,2190,0,147,0.0,Medium,0.3470319634703196,0.5921052631578948,0.5714285714285714,2,1,4,2,0,0.0,No urgent flags,147,0.0,Low,18.92,Low,🟢,11,[#11] 🟢 Low
CASE/4564/2022,BIH-BHA-05,Bihar,Bhagalpur,JDG-553,Criminal,Motor_Accident,Single_Judge,Execution,7,2017-10-20,2629,168,53,21,0.39622641509433965,1,0,642,1825,804,53,66.7,High,1.4405479452054795,0.604792696842906,1.0,2,4,4,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (2629d > 1825d); 📛 Aged case: 7+ years pending,53,66.7,High,71.99,High,🟠,1,[#1] 🟠 High
CASE/1203/2024,BIH-BHA-05,Bihar,Bhagalpur,JDG-218,Criminal,POCSO,Full_Bench,Execution,7,2019-02-14,2147,19,43,14,0.32558139534883723,0,0,124,365,1782,48,33.3,Medium,5.882191780821918,0.6008383791336749,1.0,2,6,1,3,0,65.0,⚠️ STATUTORY DEADLINE BREACHED (2147d > 365d); 🔴 POCSO: Mandatory speedy trial (Sec 35); 📛 Aged case: 5+ years pending,48,33.3,Medium,71.32,High,🟠,2,[#2] 🟠 High
CASE/3144/2021,BIH-BHA-05,Bihar,Bhagalpur,JDG-294,Writ,General_Criminal,Single_Judge,Arguments,5,2021-02-23,1407,126,39,15,0.38461538461538464,1,0,607,730,677,52,66.7,High,1.9273972602739726,0.8315565031982942,0.7142857142857143,5,2,4,1,0,40.0,⚠️ STATUTORY DEADLINE BREACHED (1407d > 730d); 📛 Long-pending: 3+ years,52,66.7,High,66.44,High,🟠,3,[#3] 🟠 High
CASE/5133/2015,BIH-BHA-05,Bihar,Bhagalpur,JDG-992,Civil,NDPS,Magistrate,Execution,7,2016-06-07,3129,19,75,34,0.4533333333333333,0,0,414,1095,2034,48,33.3,Medium,2.8575342465753426,0.7190795781399808,1.0,1,5,2,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (3129d > 1095d); 📛 Aged case: 8+ years pending,48,33.3,Medium,66.34,High,🟠,4,[#4] 🟠 High
CASE/3630/2016,BIH-BHA-05,Bihar,Bhagalpur,JDG-177,Execution,General_Criminal,Single_Judge,Execution,7,2021-09-26,1192,96,22,8,0.36363636363636365,1,0,385,730,462,51,66.7,High,1.632876712328767,0.5536912751677853,1.0,3,2,4,3,0,40.0,⚠️ STATUTORY DEADLINE BREACHED (1192d > 730d); 📛 Long-pending: 3+ years,51,66.7,High,65.34,High,🟠,5,[#5] 🟠 High
CASE/3830/2021,BIH-BHA-05,Bihar,Bhagalpur,JDG-868,Civil,NDPS,Sessions,Execution,7,2018-03-20,2478,18,58,21,0.3620689655172414,0,0,312,1095,1383,48,33.3,Medium,2.263013698630137,0.7021791767554479,1.0,1,5,3,3,0,45.0,⚠️ STATUTORY DEADLINE BREACHED (2478d > 1095d); 📛 Aged case: 6+ years pending,48,33.3,Medium,65.0,High,🟠,6,[#6] 🟠 High
CASE/5487/2018,BIH-BHA-05,Bihar,Bhagalpur,JDG-827,Revision,SC_ST,Single_Judge,Execution,7,2022-04-14,992,17,33,12,0.36363636363636365,0,0,169,730,262,50,33.3,Medium,1.358904109589041,0.9979838709677419,1.0,4,8,4,3,0,53.0,⚠️ STATUTORY DEADLINE BREACHED (992d > 730d); 🔴 SC/ST PoA: Priority disposal required,50,33.3,Medium,60.68,High,🟠,7,[#7] 🟠 High
CASE/4144/2021,BIH-BHA-05,Bihar,Bhagalpur,JDG-857,Writ,Senior_Citizen,Sessions,Arguments,5,2022-04-13,993,7,17,1,0.058823529411764705,0,0,82,180,813,43,33.3,Medium,5.516666666666667,0.5135951661631419,0.7142857142857143,5,9,3,1,0,50.0,⚠️ STATUTORY DEADLINE BREACHED (993d > 180d); 🟠 Senior Citizen: Expedited disposal mandated,43,33.3,Medium,60.61,High,🟠,8,[#8] 🟠 High
CASE/4751/2015,BIH-BHA-05,Bihar,Bhagalpur,JDG-610,Execution,Property_Dispute,Full_Bench,Execution,7,2019-03-29,2104,214,35,12,0.34285714285714286,1,0,968,2920,0,48,66.7,High,0.7205479452054795,0.49904942965779464,1.0,3,7,1,3,0,35.0,📅 Past halfway of statutory limit; 🟠 Stagnation detected: 214d in 'Execution' stage; 📛 Aged case: 5+ years pending,48,66.7,High,57.5,High,🟠,9,[#9] 🟠 High
