court_id,Critical,High,Medium,Low,Total,Avg Priority Score
RAJ-UDA-02,3,5,4,0,12,57.7
RAJ-KOT-19,3,6,1,1,11,61.8
RAJ-KOT-03,3,8,1,1,13,63.0
DEL-SOU-06,3,10,3,0,16,62.8
WES-SIL-20,3,7,3,2,15,55.1
MAH-PUN-16,3,11,3,3,20,58.3
GUJ-RAJ-19,3,10,2,0,15,63.2
KAR-BEN-08,3,5,1,1,10,59.6
GUJ-VAD-19,3,5,1,2,11,59.0
GUJ-VAD-18,3,6,1,1,11,58.6
GUJ-VAD-16,3,5,3,2,13,55.3
KAR-MAN-08,3,9,1,0,13,67.1
GUJ-VAD-04,3,6,2,0,11,64.8
GUJ-SUR-17,3,17,1,1,22,65.9
GUJ-SUR-15,3,7,2,2,14,55.8
KAR-MYS-20,3,6,2,0,11,64.6
MAD-BHO-09,3,8,2,0,13,66.0
MAD-BHO-15,3,4,0,1,8,62.6
GUJ-SUR-05,3,3,1,0,7,67.0
MAD-GWA-14,3,6,1,2,12,57.8
MAH-PUN-14,3,3,4,0,10,58.4
MAD-GWA-20,3,12,3,0,18,63.2
GUJ-RAJ-09,3,6,2,1,12,58.9
GUJ-RAJ-06,3,16,3,0,22,63.4
MAH-MUM-13,3,5,3,0,11,56.9
MAH-NAG-04,3,5,2,1,11,60.4
TAM-MAD-06,3,8,1,1,13,61.7
MAH-NAS-04,3,5,2,1,11,61.2
MAH-NAS-05,3,7,2,0,12,65.3
MAH-NAS-10,3,8,1,0,12,68.2
MAH-NAS-12,3,8,2,0,13,64.1
DEL-SOU-19,3,12,1,1,17,65.3
MAH-PUN-01,3,10,0,1,14,63.5
TAM-COI-14,3,6,3,0,12,60.8
KAR-BEN-13,3,4,3,2,12,55.6
TAM-SAL-12,3,8,0,2,13,63.4
BIH-GAY-09,3,6,3,1,13,59.1
UTT-KAN-20,3,10,2,0,15,64.9
UTT-KAN-14,3,4,3,1,11,55.7
WES-KOL-06,3,8,1,2,14,58.0
UTT-KAN-09,3,11,3,1,18,60.5
WES-KOL-08,3,10,1,0,14,65.6
UTT-ALL-13,3,4,1,2,10,59.6
WES-HOW-12,3,5,3,1,12,61.0
WES-HOW-10,3,6,3,0,12,58.7
BIH-MUZ-16,3,5,0,1,9,63.0
WES-HOW-09,3,8,1,1,13,65.5
UTT-VAR-02,3,8,2,0,13,63.5
WES-KOL-18,3,10,3,1,17,60.7
BIH-GAY-08,3,7,1,1,12,62.0
TAM-SAL-06,3,5,3,0,11,60.9
BIH-GAY-01,3,5,2,1,11,59.0
BIH-MUZ-06,3,6,1,1,11,61.6
WES-DUR-15,3,9,1,0,13,68.9
WES-DUR-11,3,8,3,0,14,60.4
TAM-MAD-11,3,8,1,0,12,70.5
BIH-BHA-09,3,8,1,1,13,63.5
WES-SIL-12,3,10,1,2,16,61.1
MAH-MUM-16,2,9,2,0,13,60.1
MAD-GWA-04,2,6,2,0,10,59.1
MAD-GWA-06,2,9,3,0,14,63.7
MAD-GWA-07,2,13,2,1,18,60.9
MAH-MUM-14,2,13,1,1,17,62.1
MAH-MUM-10,2,13,6,0,21,59.0
MAD-GWA-11,2,9,2,1,14,60.1
MAD-GWA-13,2,12,3,1,18,58.8
MAH-MUM-09,2,5,4,0,11,57.9
WES-HOW-11,2,5,4,0,11,56.7
MAD-JAB-17,2,6,0,2,10,60.2
MAD-JAB-11,2,8,1,0,11,64.2
MAD-IND-01,2,13,2,1,18,62.1
MAD-IND-02,2,7,0,2,11,61.9
MAH-MUM-05,2,7,1,1,11,64.3
WES-HOW-07,2,8,2,0,12,61.6
WES-HOW-02,2,6,3,0,11,62.8
MAD-IND-18,2,5,1,0,8,66.7
MAD-GWA-03,2,11,1,1,15,61.5
MAD-JAB-02,2,8,2,0,12,64.1
MAH-MUM-04,2,9,1,0,12,63.7
WES-DUR-18,2,13,3,0,18,62.8
MAD-JAB-07,2,11,1,2,16,60.4
WES-DUR-19,2,7,1,1,11,56.7
TAM-MAD-10,2,10,0,1,13,62.4
MAD-BHO-04,2,5,2,3,12,53.9
MAD-BHO-18,2,7,3,0,12,61.0
WES-SIL-04,2,6,0,0,8,67.7
KAR-MAN-05,2,9,5,0,16,59.6
KAR-MAN-04,2,8,4,0,14,61.4
KAR-MAN-01,2,9,0,2,13,60.6
KAR-HUB-19,2,7,3,3,15,53.6
WES-KOL-20,2,6,1,0,9,67.9
WES-SIL-02,2,14,2,2,20,59.8
KAR-HUB-16,2,11,2,1,16,61.5
KAR-HUB-15,2,6,3,1,12,59.4
MAD-BHO-17,2,11,1,1,15,62.2
KAR-HUB-13,2,5,2,0,9,59.0
KAR-HUB-07,2,7,2,0,11,62.0
KAR-BEN-20,2,7,0,0,9,67.2
KAR-BEN-18,2,13,1,0,16,65.1
KAR-BEN-17,2,5,7,0,14,54.9
KAR-BEN-16,2,12,3,0,17,62.1
WES-SIL-13,2,4,0,1,7,61.5
KAR-MAN-06,2,13,2,0,17,63.7
KAR-MAN-10,2,12,4,0,18,63.0
KAR-MAN-13,2,12,1,1,16,61.5
KAR-MAN-14,2,8,0,1,11,64.7
WES-KOL-02,2,12,3,4,21,54.0
WES-KOL-04,2,4,5,0,11,55.7
MAD-BHO-07,2,7,3,0,12,59.4
WES-DUR-07,2,7,0,0,9,68.6
WES-KOL-09,2,6,2,1,11,61.3
KAR-MYS-18,2,7,0,1,10,65.4
WES-KOL-15,2,5,6,0,13,53.5
KAR-MYS-16,2,6,4,0,12,59.6
KAR-MYS-11,2,8,1,1,12,62.8
KAR-MYS-04,2,10,2,1,15,62.3
KAR-MYS-02,2,6,4,1,13,52.7
KAR-MAN-17,2,7,1,0,10,63.0
KAR-MAN-16,2,14,0,0,16,68.7
WES-KOL-16,2,7,1,2,12,59.6
KAR-MAN-15,2,6,2,1,11,60.1
MAH-MUM-17,2,8,2,0,12,66.9
UTT-VAR-20,2,9,2,0,13,64.0
MAH-NAG-03,2,9,3,1,15,59.1
TAM-SAL-18,2,13,1,1,17,63.4
TAM-SAL-08,2,8,2,0,12,65.3
RAJ-UDA-11,2,10,2,1,15,60.6
RAJ-UDA-09,2,14,1,0,17,65.4
TAM-SAL-13,2,10,2,0,14,65.1
TAM-SAL-16,2,6,1,1,10,58.3
RAJ-UDA-08,2,15,0,1,18,63.9
RAJ-UDA-07,2,3,3,0,8,59.4
UTT-ALL-02,2,9,2,0,13,64.2
WES-DUR-04,2,7,1,1,11,56.6
RAJ-KOT-17,2,5,3,1,11,57.4
RAJ-KOT-16,2,12,3,0,17,60.3
UTT-ALL-09,2,9,1,0,12,65.5
RAJ-KOT-12,2,5,2,0,9,59.0
UTT-ALL-11,2,8,2,0,12,63.5
RAJ-KOT-04,2,6,3,0,11,60.3
UTT-KAN-05,2,6,3,0,11,58.9
RAJ-UDA-16,2,8,0,1,11,62.6
RAJ-UDA-18,2,6,1,0,9,68.0
TAM-CHE-02,2,10,3,0,15,62.5
TAM-CHE-04,2,10,1,1,14,61.9
TAM-MAD-04,2,1,1,0,4,69.3
TAM-MAD-03,2,15,1,1,19,65.2
TAM-COI-18,2,11,2,1,16,60.8
TAM-MAD-14,2,10,2,0,14,62.1
TAM-COI-13,2,8,1,0,11,67.8
TAM-COI-12,2,13,4,1,20,58.4
TAM-MAD-17,2,10,2,0,14,66.9
TAM-COI-11,2,10,2,0,14,62.5
TAM-MAD-19,2,9,2,2,15,57.5
TAM-COI-06,2,4,1,1,8,59.8
TAM-COI-03,2,3,3,0,8,62.2
TAM-CHE-19,2,10,3,0,15,61.8
TAM-SAL-02,2,13,0,0,15,67.9
TAM-CHE-05,2,9,1,0,12,63.2
TAM-SAL-05,2,7,2,0,11,63.5
RAJ-JOD-16,2,6,3,0,11,61.3
UTT-KAN-15,2,3,2,1,8,55.2
RAJ-JOD-13,2,3,2,0,7,61.8
MAH-PUN-12,2,7,2,1,12,61.5
MAH-PUN-03,2,3,1,1,7,61.4
UTT-VAR-03,2,7,4,0,13,61.0
MAH-NAS-20,2,6,3,2,13,55.5
MAH-NAS-18,2,7,0,1,10,65.8
MAH-NAS-17,2,10,1,0,13,64.9
UTT-VAR-10,2,6,3,0,11,62.8
MAH-NAS-16,2,9,0,0,11,67.6
UTT-VAR-11,2,16,1,0,19,66.4
UTT-VAR-12,2,10,4,1,17,57.2
UTT-VAR-14,2,12,2,1,17,61.9
UTT-VAR-16,2,6,1,0,9,65.2
MAH-NAG-19,2,5,1,1,9,64.4
UTT-VAR-18,2,11,1,0,14,62.8
WES-DUR-03,2,9,1,1,13,61.9
MAH-NAG-05,2,8,2,0,12,64.3
MAH-PUN-10,2,9,2,0,13,66.0
MAH-PUN-15,2,7,0,1,10,62.6
RAJ-JOD-09,2,7,0,1,10,65.7
UTT-LUC-19,2,8,2,1,13,63.3
RAJ-JOD-06,2,9,0,1,12,64.3
RAJ-JOD-05,2,8,2,1,13,59.4
RAJ-JOD-03,2,9,4,1,16,58.1
UTT-KAN-16,2,12,2,1,17,61.1
RAJ-JAI-17,2,5,1,0,8,61.6
UTT-LUC-03,2,5,4,1,12,52.8
RAJ-JAI-11,2,7,1,1,11,59.1
UTT-LUC-11,2,8,1,0,11,67.3
RAJ-JAI-10,2,10,3,1,16,60.0
RAJ-JAI-03,2,5,1,1,9,61.9
RAJ-JAI-02,2,5,2,0,9,67.1
RAJ-JAI-01,2,6,1,1,10,60.8
UTT-LUC-15,2,6,1,1,10,56.8
UTT-LUC-18,2,10,3,0,15,63.8
MAH-PUN-17,2,8,0,0,10,64.3
RAJ-KOT-02,2,13,3,1,19,62.6
BIH-BHA-01,2,10,1,1,14,61.6
DEL-EAS-15,2,10,1,0,13,65.5
BIH-MUZ-09,2,5,2,3,12,51.8
GUJ-SUR-09,2,12,1,2,17,60.9
BIH-MUZ-19,2,11,1,1,15,60.0
GUJ-AHM-17,2,10,2,0,14,65.3
GUJ-AHM-16,2,5,1,1,9,59.2
BIH-MUZ-17,2,9,2,1,14,61.4
GUJ-AHM-15,2,8,0,0,10,68.8
DEL-EAS-05,2,8,4,2,16,56.5
GUJ-SUR-14,2,5,1,1,9,60.9
BIH-MUZ-08,2,6,2,0,10,63.8
GUJ-SUR-08,2,9,3,1,15,58.1
DEL-EAS-14,2,6,1,1,10,59.7
BIH-MUZ-04,2,10,1,1,14,59.5
BIH-GAY-16,2,5,0,1,8,61.1
BIH-GAY-14,2,8,3,0,13,63.8
BIH-GAY-12,2,10,2,0,14,64.1
DEL-NOR-02,2,8,1,0,11,66.4
BIH-GAY-11,2,8,1,0,11,66.5
GUJ-VAD-02,2,10,1,0,13,65.4
BIH-PAT-01,2,1,1,0,4,63.6
BIH-PAT-02,2,9,0,2,13,59.9
DEL-NOR-06,2,12,0,1,15,63.7
DEL-SOU-13,2,5,1,0,8,66.0
DEL-CEN-01,2,7,0,0,9,69.5
GUJ-RAJ-10,2,10,1,0,13,65.9
BIH-PAT-19,2,6,0,0,8,68.1
BIH-PAT-17,2,8,2,0,12,64.8
DEL-CEN-07,2,6,1,0,9,66.1
DEL-CEN-08,2,6,0,0,8,68.4
GUJ-RAJ-07,2,8,3,1,14,57.0
GUJ-RAJ-16,2,9,3,1,15,60.2
BIH-PAT-11,2,8,3,0,13,62.9
GUJ-RAJ-02,2,8,4,0,14,60.3
DEL-CEN-13,2,6,1,0,9,64.8
GUJ-RAJ-18,2,13,1,0,16,67.7
GUJ-RAJ-20,2,8,2,0,12,63.2
DEL-CEN-15,2,9,1,0,12,68.6
DEL-CEN-17,2,5,4,1,12,52.4
DEL-CEN-18,2,6,0,1,9,64.8
GUJ-SUR-02,2,8,1,0,11,66.8
BIH-PAT-06,2,10,1,2,15,58.0
DEL-NOR-04,2,10,0,1,13,59.1
DEL-CEN-04,2,8,3,1,14,58.0
BIH-BHA-08,2,6,1,0,9,62.3
BIH-BHA-18,2,7,0,1,10,61.7
KAR-BEN-03,2,7,0,0,9,69.2
GUJ-AHM-02,2,11,1,0,14,65.0
DEL-SOU-16,2,11,0,0,13,66.2
GUJ-VAD-12,2,8,2,0,12,63.3
DEL-NOR-19,2,8,4,0,14,61.5
BIH-BHA-12,2,12,1,0,15,66.3
GUJ-VAD-10,2,9,1,0,12,65.7
DEL-NOR-15,2,9,2,2,15,58.3
BIH-BHA-14,2,5,1,0,8,68.5
DEL-NOR-13,2,8,5,0,15,60.7
BIH-BHA-17,2,10,2,0,14,66.0
DEL-SOU-08,2,9,2,1,14,58.7
BIH-BHA-03,2,4,1,1,8,56.4
DEL-NOR-10,2,7,2,0,11,63.2
GUJ-VAD-08,2,4,2,0,8,60.7
KAR-BEN-09,2,9,0,1,12,66.2
BIH-BHA-15,2,7,0,1,10,62.0
DEL-NOR-16,1,6,1,0,8,62.6
DEL-CEN-12,1,5,4,0,10,55.0
RAJ-JAI-14,1,8,2,0,11,62.1
TAM-COI-07,1,7,1,0,9,65.5
TAM-COI-01,1,11,0,0,12,69.3
TAM-COI-09,1,9,1,0,11,64.5
RAJ-JAI-18,1,5,3,0,9,60.6
RAJ-JAI-13,1,7,1,1,10,58.4
RAJ-JAI-15,1,10,4,2,17,53.9
RAJ-JOD-18,1,7,2,0,10,63.6
TAM-COI-15,1,9,3,1,14,58.3
TAM-COI-16,1,10,2,2,15,56.4
TAM-MAD-12,1,6,3,2,12,50.7
DEL-SOU-09,1,8,2,0,11,62.5
DEL-CEN-05,1,11,1,0,13,65.3
TAM-MAD-09,1,5,0,0,6,67.5
TAM-MAD-08,1,8,1,0,10,67.3
TAM-MAD-07,1,7,1,0,9,63.6
DEL-SOU-07,1,12,1,1,15,63.2
RAJ-JAI-05,1,11,0,0,12,66.2
TAM-MAD-02,1,11,2,0,14,62.7
TAM-MAD-01,1,5,4,0,10,56.0
DEL-SOU-01,1,10,3,0,14,61.8
TAM-COI-20,1,8,1,0,10,65.7
TAM-COI-19,1,3,2,0,6,59.8
DEL-CEN-19,1,13,8,0,22,58.1
DEL-NOR-18,1,7,0,0,8,63.0
TAM-CHE-20,1,9,3,4,17,52.3
RAJ-JAI-19,1,8,1,1,11,56.8
TAM-CHE-18,1,4,1,1,7,54.5
TAM-CHE-17,1,4,1,0,6,59.8
RAJ-UDA-06,1,8,1,1,11,60.4
RAJ-UDA-05,1,10,1,2,14,57.8
RAJ-KOT-20,1,10,1,1,13,61.2
DEL-EAS-17,1,9,1,1,12,61.1
RAJ-KOT-18,1,8,3,0,12,61.2
DEL-EAS-19,1,8,1,1,11,57.5
DEL-EAS-20,1,6,1,1,9,57.4
RAJ-KOT-13,1,10,1,0,12,60.8
RAJ-JOD-12,1,9,0,0,10,71.6
RAJ-KOT-11,1,7,5,1,14,54.5
RAJ-KOT-09,1,12,3,1,17,59.4
RAJ-KOT-08,1,9,1,1,12,61.3
DEL-NOR-08,1,6,2,0,9,59.2
RAJ-JOD-15,1,12,1,1,15,60.3
DEL-NOR-07,1,8,7,0,16,54.6
TAM-MAD-15,1,9,1,0,11,63.4
RAJ-JOD-11,1,9,4,2,16,57.4
RAJ-JOD-07,1,12,1,1,15,61.7
DEL-NOR-14,1,4,3,1,9,55.3
TAM-CHE-16,1,4,4,0,9,55.4
RAJ-JOD-17,1,8,1,0,10,63.6
TAM-CHE-15,1,10,3,0,14,60.7
RAJ-JOD-01,1,6,1,2,10,57.0
TAM-CHE-14,1,8,1,1,11,58.7
TAM-CHE-13,1,7,2,1,11,61.0
TAM-CHE-11,1,7,2,0,10,60.8
DEL-NOR-12,1,6,2,2,11,55.4
RAJ-JOD-04,1,6,4,0,11,52.9
DEL-EAS-01,1,8,1,1,11,58.9
DEL-EAS-03,1,6,4,0,11,58.2
TAM-CHE-03,1,1,2,2,6,43.5
DEL-EAS-07,1,17,0,0,18,64.9
DEL-EAS-11,1,13,0,1,15,63.6
KAR-BEN-11,1,7,2,1,11,55.5
UTT-ALL-07,1,10,5,2,18,53.0
DEL-CEN-03,1,8,1,0,10,64.3
WES-HOW-15,1,9,2,0,12,63.0
BIH-GAY-02,1,9,1,1,12,60.8
BIH-GAY-03,1,11,0,1,13,60.8
BIH-GAY-05,1,9,2,1,13,58.9
WES-HOW-06,1,15,4,0,20,63.1
WES-HOW-05,1,8,1,1,11,54.8
WES-HOW-04,1,9,2,1,13,59.7
WES-HOW-03,1,6,2,0,9,59.2
WES-HOW-01,1,8,2,1,12,61.2
WES-DUR-20,1,10,1,0,12,65.0
WES-DUR-16,1,6,0,1,8,61.6
WES-DUR-13,1,8,0,3,12,55.2
WES-DUR-12,1,5,5,1,12,51.0
BIH-GAY-15,1,12,2,0,15,64.9
WES-DUR-08,1,10,2,1,14,59.9
WES-DUR-06,1,9,0,0,10,61.8
BIH-GAY-20,1,8,5,0,14,56.0
BIH-MUZ-01,1,5,1,0,7,64.6
BIH-MUZ-02,1,2,3,1,7,49.4
BIH-MUZ-03,1,7,1,0,9,63.4
WES-HOW-14,1,8,6,0,15,57.4
WES-HOW-16,1,5,0,1,7,60.7
TAM-MAD-18,1,10,1,0,12,66.2
WES-HOW-17,1,11,3,0,15,60.3
WES-SIL-18,1,6,2,0,9,61.8
BIH-BHA-04,1,8,1,1,11,60.0
WES-SIL-11,1,9,1,0,11,59.2
WES-SIL-07,1,7,1,0,9,65.4
WES-SIL-06,1,5,4,1,11,55.2
WES-SIL-05,1,14,1,0,16,64.0
WES-SIL-01,1,6,2,1,10,59.4
BIH-BHA-11,1,5,0,1,7,62.6
WES-KOL-19,1,13,0,0,14,69.3
WES-KOL-17,1,6,2,0,9,63.0
BIH-BHA-13,1,5,3,0,9,60.5
WES-KOL-12,1,9,3,0,13,59.8
WES-KOL-10,1,5,2,0,8,58.9
BIH-BHA-16,1,7,2,1,11,58.2
WES-KOL-05,1,7,2,1,11,61.6
BIH-BHA-19,1,8,2,1,12,57.0
WES-KOL-01,1,9,1,0,11,63.7
WES-HOW-20,1,8,2,0,11,57.2
WES-HOW-19,1,11,0,0,12,70.3
UTT-VAR-19,1,7,5,0,13,59.1
UTT-VAR-17,1,4,2,2,9,47.4
UTT-VAR-15,1,9,0,1,11,65.2
BIH-MUZ-07,1,9,2,1,13,60.1
UTT-KAN-02,1,9,1,0,11,66.1
UTT-KAN-01,1,11,1,1,14,61.1
BIH-PAT-07,1,4,0,0,5,67.6
BIH-PAT-08,1,8,1,0,10,68.4
BIH-PAT-09,1,3,3,2,9,48.3
UTT-ALL-12,1,7,4,1,13,55.3
BIH-PAT-10,1,7,1,2,11,58.1
UTT-ALL-04,1,12,2,1,16,61.9
UTT-ALL-03,1,5,1,1,8,57.7
UTT-ALL-01,1,6,2,2,11,54.8
TAM-SAL-20,1,11,3,1,16,57.4
TAM-SAL-19,1,9,1,1,12,62.9
BIH-PAT-13,1,9,1,0,11,62.6
TAM-SAL-17,1,6,3,0,10,53.7
BIH-PAT-14,1,10,3,0,14,60.3
TAM-SAL-14,1,5,2,1,9,57.0
BIH-PAT-15,1,10,0,1,12,63.5
BIH-PAT-16,1,8,3,0,12,60.9
BIH-PAT-20,1,5,5,0,11,52.9
UTT-KAN-03,1,8,3,0,12,61.8
UTT-KAN-04,1,10,2,0,13,63.7
UTT-KAN-06,1,9,4,1,15,56.3
BIH-MUZ-18,1,11,3,0,15,63.2
UTT-VAR-09,1,5,1,1,8,55.7
BIH-MUZ-11,1,11,3,1,16,59.4
UTT-VAR-07,1,4,2,0,7,62.7
BIH-MUZ-12,1,2,1,2,6,43.2
BIH-MUZ-13,1,10,1,0,12,68.4
UTT-LUC-17,1,4,0,1,6,60.2
UTT-LUC-16,1,11,0,0,12,67.8
UTT-LUC-14,1,4,4,0,9,55.6
UTT-LUC-09,1,8,0,0,9,67.4
UTT-KAN-07,1,7,0,0,8,67.9
UTT-LUC-08,1,6,0,0,7,69.9
UTT-LUC-07,1,2,3,0,6,55.3
UTT-LUC-01,1,4,2,0,7,57.6
UTT-KAN-19,1,3,3,0,7,59.6
UTT-KAN-17,1,11,1,2,15,59.0
UTT-KAN-13,1,5,0,0,6,68.4
UTT-KAN-10,1,10,2,2,15,56.1
UTT-KAN-08,1,9,2,1,13,60.4
MAH-PUN-11,1,6,1,0,8,62.3
RAJ-KOT-06,1,4,2,0,7,62.6
MAH-PUN-09,1,8,2,2,13,57.6
MAD-BHO-14,1,12,2,0,15,61.1
GUJ-RAJ-12,1,6,4,0,11,57.1
GUJ-RAJ-13,1,10,0,0,11,63.6
MAD-IND-14,1,9,4,0,14,61.3
MAD-IND-12,1,5,0,0,6,67.0
GUJ-RAJ-14,1,11,1,1,14,62.2
MAD-IND-10,1,8,2,0,11,60.9
MAD-IND-08,1,6,3,1,11,54.8
GUJ-RAJ-15,1,8,4,0,13,60.6
MAD-GWA-19,1,11,4,1,17,58.4
MAD-GWA-18,1,10,2,1,14,57.6
MAD-GWA-17,1,6,1,1,9,60.3
MAD-GWA-16,1,13,2,1,17,61.2
MAD-GWA-12,1,6,3,0,10,57.5
GUJ-SUR-04,1,4,0,1,6,63.8
GUJ-SUR-06,1,7,2,2,12,55.0
MAD-GWA-02,1,7,1,2,11,55.4
MAD-BHO-20,1,4,0,0,5,63.6
MAD-IND-17,1,9,3,0,13,59.5
MAD-IND-19,1,10,0,0,11,64.5
MAD-IND-20,1,11,2,0,14,61.8
MAH-MUM-02,1,10,2,0,13,64.3
MAH-MUM-12,1,7,2,0,10,60.8
MAH-MUM-11,1,10,1,0,12,65.7
MAH-MUM-08,1,10,1,0,12,64.8
MAH-MUM-07,1,4,2,2,9,52.4
GUJ-AHM-20,1,7,3,0,11,59.0
GUJ-RAJ-01,1,6,2,1,10,55.9
MAH-MUM-03,1,8,3,0,12,57.7
GUJ-RAJ-04,1,9,0,0,10,66.7
MAD-JAB-01,1,5,1,1,8,58.8
MAD-JAB-19,1,8,3,4,16,52.3
MAD-JAB-18,1,9,0,1,11,64.3
MAD-JAB-16,1,9,2,0,12,60.1
MAD-JAB-08,1,5,3,0,9,62.7
GUJ-RAJ-08,1,6,1,0,8,60.4
MAD-JAB-05,1,5,4,0,10,54.3
MAD-JAB-04,1,8,4,0,13,57.7
MAD-BHO-19,1,5,1,0,7,62.7
MAD-BHO-13,1,9,3,2,15,54.2
MAH-NAG-01,1,6,3,0,10,61.9
MAD-BHO-12,1,9,1,2,13,58.4
GUJ-VAD-07,1,7,1,0,9,66.3
KAR-MAN-11,1,7,2,0,10,61.1
KAR-MAN-09,1,10,1,0,12,65.7
KAR-MAN-07,1,8,1,0,10,67.3
GUJ-VAD-11,1,8,2,0,11,61.8
KAR-MAN-02,1,10,3,2,16,54.3
KAR-HUB-20,1,10,2,0,13,64.8
GUJ-VAD-17,1,10,3,0,14,61.9
GUJ-VAD-20,1,7,2,0,10,61.5
KAR-BEN-01,1,6,1,1,9,56.6
KAR-HUB-12,1,5,1,2,9,53.6
KAR-BEN-02,1,6,0,2,9,54.9
KAR-HUB-06,1,11,1,1,14,62.6
KAR-HUB-05,1,10,1,0,12,64.8
KAR-HUB-01,1,13,2,2,18,59.5
KAR-BEN-15,1,3,1,2,7,52.1
KAR-BEN-14,1,7,2,0,10,64.0
GUJ-VAD-06,1,9,3,2,15,53.5
GUJ-VAD-03,1,5,3,1,10,53.3
KAR-MAN-18,1,10,1,2,14,59.5
KAR-MYS-15,1,10,4,0,15,60.3
MAD-BHO-11,1,9,2,0,12,62.1
GUJ-SUR-11,1,11,3,2,17,58.5
MAD-BHO-06,1,7,4,0,12,57.9
MAD-BHO-05,1,8,0,1,10,64.5
MAD-BHO-03,1,6,2,0,9,61.6
MAD-BHO-02,1,11,1,2,15,60.1
MAD-BHO-01,1,6,1,0,8,65.0
KAR-MYS-13,1,9,0,0,10,64.7
KAR-MAN-19,1,5,1,0,7,61.6
KAR-MYS-12,1,7,1,0,9,64.3
KAR-MYS-10,1,10,4,0,15,57.9
KAR-MYS-08,1,14,1,0,16,62.7
KAR-MYS-07,1,8,2,0,11,62.0
KAR-MYS-05,1,10,1,0,12,63.6
KAR-MYS-01,1,7,3,1,12,56.2
KAR-MAN-20,1,10,0,1,12,63.5
GUJ-AHM-13,1,12,4,1,18,57.4
MAH-MUM-01,1,8,1,4,14,50.2
MAH-PUN-04,1,5,3,2,11,50.9
GUJ-AHM-11,1,10,2,1,14,61.6
MAH-NAG-06,1,7,4,0,12,60.2
MAH-NAS-15,1,13,3,2,19,58.8
GUJ-AHM-07,1,6,3,0,10,59.9
MAH-NAG-07,1,10,1,1,13,62.6
MAH-NAG-10,1,7,0,1,9,64.2
MAH-NAG-20,1,6,1,0,8,63.0
MAH-NAS-08,1,14,1,0,16,64.9
MAH-NAS-07,1,13,3,1,18,59.6
GUJ-AHM-06,1,7,6,0,14,54.5
MAH-NAG-17,1,5,1,1,8,59.1
DEL-SOU-17,1,6,2,0,9,61.2
DEL-SOU-14,1,8,1,0,10,66.2
MAH-NAG-12,1,8,1,0,10,64.6
MAH-NAG-14,1,5,0,0,6,67.6
MAH-NAS-13,1,4,0,0,5,71.6
MAH-NAG-13,1,9,0,0,10,64.9
MAH-PUN-02,1,10,1,0,12,63.0
RAJ-JAI-20,0,6,2,1,9,50.2
MAH-NAS-14,0,5,1,0,6,62.5
WES-DUR-01,0,14,2,0,16,63.9
WES-DUR-02,0,11,0,0,11,67.9
GUJ-SUR-19,0,4,1,1,6,52.9
KAR-MYS-06,0,9,2,0,11,61.8
KAR-MYS-09,0,9,0,1,10,61.6
