case_number,court_id,state,district,judge_id,case_type,case_category,bench_type,current_stage,stage_index,filing_date,case_age_days,stage_age_days,hearings_held,adjournments,adjournment_rate,stagnation_flag,is_undertrial,district_avg_disposal_days,statutory_deadline_days,days_beyond_statutory,disposal_days,delay_risk_score,delay_risk_label
CASE/7518/2017,GUJ-SUR-16,Gujarat,Surat,JDG-352,Execution,Motor_Accident,Division_Bench,Arguments,5,2017-12-20,2568,11,56,17,0.304,0,0,891,1825,743,50,48.56,Medium
CASE/6544/2020,BIH-MUZ-19,Bihar,Muzaffarpur,JDG-621,Revision,Motor_Accident,Division_Bench,Execution,7,2017-06-17,2754,25,68,22,0.324,0,0,735,1825,929,120,51.8,High
CASE/2622/2021,MAD-BHO-02,Madhya Pradesh,Bhopal,JDG-494,Criminal,SC_ST,Single_Judge,Execution,7,2021-09-08,1210,15,31,8,0.258,0,0,183,730,480,118,52.12,High
CASE/0189/2016,WES-SIL-17,West Bengal,Siliguri,JDG-868,Revision,NDPS,Sessions,Execution,7,2022-08-24,860,77,24,10,0.417,1,0,405,1095,0,74,59.38,High
CASE/2592/2022,RAJ-UDA-04,Rajasthan,Udaipur,JDG-612,Appeal,NDPS,Full_Bench,Arguments,5,2015-01-14,3639,5,101,31,0.307,0,0,470,1095,2544,116,61.69,High
CASE/3259/2017,KAR-BEN-10,Karnataka,Bengaluru,JDG-652,Revision,General_Civil,Division_Bench,Judgment,6,2019-03-12,2121,628,59,17,0.288,1,0,1177,2190,0,26,66.26,High
CASE/0320/2016,BIH-PAT-20,Bihar,Patna,JDG-345,Appeal,Matrimonial,Full_Bench,Arguments,5,2019-01-26,2166,69,38,19,0.5,0,0,434,1825,341,55,49.29,Medium
CASE/7963/2016,MAH-PUN-19,Maharashtra,Pune,JDG-884,Civil,SC_ST,Sessions,Execution,7,2023-07-13,537,7,10,3,0.3,0,0,197,730,0,10,29.86,Medium
CASE/4343/2023,KAR-MYS-16,Karnataka,Mysuru,JDG-316,Criminal,General_Civil,Magistrate,Execution,7,2021-10-20,1168,120,28,13,0.464,0,0,733,2190,0,10,33.03,Medium
CASE/6119/2022,BIH-GAY-10,Bihar,Gaya,JDG-223,Execution,Motor_Accident,Magistrate,Execution,7,2020-10-20,1533,57,32,9,0.281,0,0,834,1825,0,10,36.24,Medium
CASE/9639/2023,TAM-COI-03,Tamil Nadu,Coimbatore,JDG-325,Civil,Matrimonial,Sessions,Arguments,5,2017-07-31,2710,25,54,27,0.5,0,0,616,1825,885,51,48.81,Medium
CASE/0515/2020,MAH-MUM-02,Maharashtra,Mumbai,JDG-343,Civil,Commercial,Sessions,Judgment,6,2015-10-18,3362,9,73,32,0.438,0,0,330,365,2997,10,52.53,High
CASE/9356/2024,RAJ-KOT-07,Rajasthan,Kota,JDG-903,Criminal,General_Civil,Division_Bench,Judgment,6,2020-04-20,1716,186,40,18,0.45,1,0,1099,2190,0,59,57.65,High
CASE/7063/2020,MAD-JAB-07,Madhya Pradesh,Jabalpur,JDG-578,Civil,SC_ST,Magistrate,Execution,7,2019-10-01,1918,19,43,13,0.302,0,0,250,730,1188,43,46.75,Medium
CASE/5560/2016,MAH-MUM-02,Maharashtra,Mumbai,JDG-294,Execution,Motor_Accident,Division_Bench,Arguments,5,2017-10-15,2634,3,69,17,0.246,0,0,921,1825,809,66,41.43,Medium
CASE/4564/2022,BIH-BHA-05,Bihar,Bhagalpur,JDG-553,Criminal,Motor_Accident,Single_Judge,Execution,7,2017-10-20,2629,168,53,21,0.396,1,0,642,1825,804,38,60.49,High
CASE/1529/2018,BIH-PAT-02,Bihar,Patna,JDG-597,Civil,General_Civil,Magistrate,Execution,7,2016-11-12,2971,65,55,22,0.4,0,0,813,2190,781,10,44.73,Medium
CASE/6210/2015,MAD-IND-13,Madhya Pradesh,Indore,JDG-902,Criminal,POCSO,Full_Bench,Arguments,5,2019-05-19,2053,16,53,20,0.377,0,0,113,365,1688,111,46.87,Medium
CASE/7974/2017,MAD-GWA-14,Madhya Pradesh,Gwalior,JDG-322,Execution,General_Civil,Full_Bench,Arguments,5,2017-02-16,2875,47,53,14,0.264,0,0,1132,2190,685,10,53.62,High
CASE/9572/2022,MAH-MUM-11,Maharashtra,Mumbai,JDG-261,Civil,POCSO,Sessions,Execution,7,2020-08-21,1593,7,39,5,0.128,0,0,141,365,1228,101,42.62,Medium
CASE/1114/2018,MAH-MUM-06,Maharashtra,Mumbai,JDG-683,Revision,SC_ST,Single_Judge,Execution,7,2019-07-12,1999,25,48,25,0.521,0,0,212,730,1269,74,55.58,High
CASE/9563/2024,TAM-CHE-20,Tamil Nadu,Chennai,JDG-367,Appeal,SC_ST,Full_Bench,Execution,7,2020-11-11,1511,23,34,19,0.559,0,0,247,730,781,10,52.21,High
CASE/2145/2019,TAM-MAD-08,Tamil Nadu,Madurai,JDG-869,Appeal,NDPS,Full_Bench,Execution,7,2020-02-16,1780,85,37,15,0.405,1,0,484,1095,685,93,66.26,High
CASE/1639/2016,UTT-LUC-15,Uttar Pradesh,Lucknow,JDG-618,Revision,General_Criminal,Division_Bench,Arguments,5,2021-01-11,1450,44,32,12,0.375,0,0,394,730,720,65,42.72,Medium
CASE/6055/2019,RAJ-JOD-12,Rajasthan,Jodhpur,JDG-953,Criminal,SC_ST,Magistrate,Execution,7,2016-10-08,3006,6,74,22,0.297,0,0,201,730,2276,10,45.56,Medium
CASE/9087/2019,BIH-MUZ-20,Bihar,Muzaffarpur,JDG-999,Civil,General_Civil,Single_Judge,Execution,7,2022-06-10,935,254,20,9,0.45,1,0,1083,2190,0,91,44.41,Medium
CASE/9065/2017,KAR-HUB-04,Karnataka,Hubballi,JDG-719,Execution,SC_ST,Full_Bench,Arguments,5,2018-01-20,2537,2,64,25,0.391,0,0,237,730,1807,20,56.59,High
CASE/8005/2019,TAM-MAD-07,Tamil Nadu,Madurai,JDG-749,Revision,NDPS,Single_Judge,Judgment,6,2015-07-28,3444,23,93,33,0.355,0,0,419,1095,2349,52,47.59,Medium
CASE/2144/2019,WES-DUR-02,West Bengal,Durgapur,JDG-664,Writ,POCSO,Magistrate,Execution,7,2016-10-23,2991,20,66,27,0.409,0,0,126,365,2626,17,48.16,Medium
CASE/2443/2023,WES-KOL-04,West Bengal,Kolkata,JDG-696,Execution,SC_ST,Full_Bench,Execution,7,2015-05-28,3505,19,88,34,0.386,0,0,187,730,2775,10,47.5,Medium
CASE/5051/2020,BIH-GAY-14,Bihar,Gaya,JDG-466,Civil,Senior_Citizen,Single_Judge,Arguments,5,2023-12-05,392,2,7,5,0.714,0,0,105,180,212,93,58.06,High
CASE/6659/2024,TAM-COI-04,Tamil Nadu,Coimbatore,JDG-342,Revision,Matrimonial,Division_Bench,Arguments,5,2023-05-28,583,166,22,6,0.273,1,0,518,1825,0,10,32.23,Medium
CASE/5443/2021,KAR-MYS-14,Karnataka,Mysuru,JDG-373,Criminal,POCSO,Division_Bench,Execution,7,2023-12-30,367,17,13,1,0.077,0,0,154,365,2,10,48.31,Medium
CASE/3645/2018,KAR-BEN-13,Karnataka,Bengaluru,JDG-412,Appeal,POCSO,Full_Bench,Execution,7,2020-02-29,1767,27,48,16,0.333,1,0,100,365,1402,59,63.18,High
CASE/5379/2019,TAM-COI-01,Tamil Nadu,Coimbatore,JDG-459,Appeal,Commercial,Full_Bench,Execution,7,2015-10-12,3368,192,80,24,0.3,1,0,236,365,3003,50,63.57,High
CASE/1890/2019,BIH-BHA-18,Bihar,Bhagalpur,JDG-371,Civil,Matrimonial,Sessions,Arguments,5,2017-01-01,2921,75,71,18,0.254,0,0,600,1825,1096,40,55.68,High
CASE/5140/2021,MAH-MUM-20,Maharashtra,Mumbai,JDG-218,Writ,Motor_Accident,Sessions,Execution,7,2021-10-19,1169,154,41,18,0.439,1,0,794,1825,0,129,47.45,Medium
CASE/7145/2015,WES-HOW-09,West Bengal,Howrah,JDG-803,Execution,POCSO,Sessions,Judgment,6,2020-10-30,1523,24,44,17,0.386,1,0,102,365,1158,66,72.75,High
CASE/5410/2024,TAM-MAD-14,Tamil Nadu,Madurai,JDG-837,Execution,SC_ST,Single_Judge,Arguments,5,2018-07-09,2367,34,52,18,0.346,1,0,193,730,1637,43,66.8,High
CASE/4845/2023,RAJ-UDA-14,Rajasthan,Udaipur,JDG-530,Appeal,Matrimonial,Division_Bench,Execution,7,2016-06-05,3131,15,75,27,0.36,0,0,621,1825,1306,132,43.14,Medium
CASE/6654/2023,WES-HOW-20,West Bengal,Howrah,JDG-393,Writ,General_Criminal,Full_Bench,Execution,7,2015-01-02,3651,11,80,28,0.35,0,0,406,730,2921,10,43.04,Medium
CASE/5280/2022,TAM-SAL-19,Tamil Nadu,Salem,JDG-791,Execution,General_Criminal,Magistrate,Execution,7,2019-12-15,1843,1,44,14,0.318,0,0,394,730,1113,10,40.56,Medium
CASE/8446/2024,TAM-SAL-06,Tamil Nadu,Salem,JDG-938,Writ,SC_ST,Single_Judge,Judgment,6,2018-10-04,2280,36,56,11,0.196,1,0,231,730,1550,10,63.25,High
CASE/0401/2015,TAM-MAD-08,Tamil Nadu,Madurai,JDG-725,Criminal,Commercial,Magistrate,Judgment,6,2017-09-29,2650,48,62,12,0.194,0,0,237,365,2285,84,47.65,Medium
CASE/6292/2022,UTT-KAN-14,Uttar Pradesh,Kanpur,JDG-251,Criminal,General_Criminal,Division_Bench,Execution,7,2019-06-25,2016,42,37,13,0.351,0,1,432,730,1286,30,61.79,High
CASE/8487/2022,MAH-MUM-14,Maharashtra,Mumbai,JDG-355,Criminal,Commercial,Sessions,Arguments,5,2015-07-25,3447,61,65,19,0.292,1,0,292,365,3082,123,57.17,High
CASE/8703/2023,UTT-KAN-05,Uttar Pradesh,Kanpur,JDG-873,Execution,Property_Dispute,Full_Bench,Judgment,6,2021-09-04,1214,12,29,13,0.448,0,0,959,2920,0,10,20.11,Low
CASE/7778/2022,MAD-JAB-18,Madhya Pradesh,Jabalpur,JDG-960,Criminal,Property_Dispute,Division_Bench,Judgment,6,2017-11-27,2591,128,54,17,0.315,0,0,880,2920,0,10,36.92,Medium
CASE/1270/2019,RAJ-KOT-08,Rajasthan,Kota,JDG-443,Appeal,NDPS,Full_Bench,Execution,7,2017-08-18,2692,86,49,8,0.163,1,0,444,1095,1597,89,58.99,High
CASE/6276/2017,GUJ-AHM-05,Gujarat,Ahmedabad,JDG-165,Criminal,Senior_Citizen,Division_Bench,Arguments,5,2022-12-03,759,7,20,12,0.6,0,0,99,180,579,27,57.24,High
CASE/6813/2015,WES-SIL-11,West Bengal,Siliguri,JDG-498,Appeal,General_Civil,Magistrate,Execution,7,2017-04-27,2805,5,61,19,0.311,0,0,857,2190,615,101,50.09,High
CASE/0097/2020,DEL-CEN-19,Delhi,Central,JDG-973,Appeal,Motor_Accident,Magistrate,Execution,7,2018-05-08,2429,58,58,14,0.241,0,0,910,1825,604,74,44.1,Medium
CASE/7141/2022,WES-HOW-16,West Bengal,Howrah,JDG-444,Writ,Commercial,Magistrate,Execution,7,2015-04-29,3534,94,72,29,0.403,1,0,352,365,3169,65,61.0,High
CASE/8752/2015,WES-HOW-15,West Bengal,Howrah,JDG-677,Revision,Senior_Citizen,Sessions,Execution,7,2019-06-02,2039,2,39,15,0.385,0,0,91,180,1859,19,52.43,High
CASE/2978/2015,MAH-MUM-14,Maharashtra,Mumbai,JDG-435,Appeal,Senior_Citizen,Magistrate,Execution,7,2017-12-01,2587,11,61,22,0.361,0,0,93,180,2407,10,47.49,Medium
CASE/4559/2021,TAM-SAL-11,Tamil Nadu,Salem,JDG-581,Appeal,Matrimonial,Single_Judge,Execution,7,2017-10-30,2619,52,59,24,0.407,0,0,486,1825,794,35,53.41,High
CASE/1125/2015,MAH-MUM-12,Maharashtra,Mumbai,JDG-353,Execution,Commercial,Single_Judge,Execution,7,2023-06-17,563,52,8,2,0.25,1,0,308,365,198,71,61.67,High
CASE/2069/2022,TAM-CHE-20,Tamil Nadu,Chennai,JDG-677,Criminal,Senior_Citizen,Single_Judge,Arguments,5,2022-07-05,910,1,21,7,0.333,0,0,104,180,730,137,52.11,High
CASE/9927/2024,TAM-SAL-09,Tamil Nadu,Salem,JDG-896,Criminal,Matrimonial,Single_Judge,Execution,7,2023-05-22,589,28,14,6,0.429,0,0,714,1825,0,42,25.11,Medium
CASE/5112/2024,KAR-HUB-04,Karnataka,Hubballi,JDG-506,Civil,General_Criminal,Magistrate,Execution,7,2022-08-06,878,87,24,5,0.208,1,0,423,730,148,17,57.02,High
CASE/4942/2024,TAM-CHE-19,Tamil Nadu,Chennai,JDG-901,Civil,Commercial,Sessions,Arguments,5,2016-05-10,3157,13,69,26,0.377,0,0,336,365,2792,72,47.24,Medium
CASE/6072/2016,MAH-NAG-18,Maharashtra,Nagpur,JDG-112,Execution,Motor_Accident,Full_Bench,Judgment,6,2020-09-03,1580,37,35,18,0.514,0,0,735,1825,0,17,54.69,High
CASE/7533/2017,WES-SIL-04,West Bengal,Siliguri,JDG-851,Writ,Motor_Accident,Division_Bench,Execution,7,2019-11-19,1869,3,54,20,0.37,0,0,598,1825,44,97,43.92,Medium
CASE/7617/2021,BIH-MUZ-20,Bihar,Muzaffarpur,JDG-374,Appeal,General_Civil,Sessions,Arguments,5,2023-03-14,658,112,10,3,0.3,0,0,756,2190,0,231,24.25,Low
CASE/3996/2022,GUJ-SUR-03,Gujarat,Surat,JDG-784,Appeal,NDPS,Sessions,Execution,7,2021-05-23,1318,19,30,9,0.3,0,0,420,1095,223,96,41.0,Medium
CASE/2980/2022,WES-DUR-01,West Bengal,Durgapur,JDG-916,Writ,Property_Dispute,Full_Bench,Judgment,6,2017-05-18,2784,101,63,23,0.365,0,0,995,2920,0,10,42.98,Medium
CASE/4527/2023,RAJ-UDA-09,Rajasthan,Udaipur,JDG-295,Execution,General_Criminal,Sessions,Judgment,6,2015-02-11,3611,29,90,27,0.3,0,0,365,730,2881,40,46.78,Medium
CASE/3938/2022,UTT-ALL-14,Uttar Pradesh,Allahabad,JDG-558,Revision,Property_Dispute,Magistrate,Execution,7,2022-03-30,1007,298,24,12,0.5,1,0,956,2920,0,156,43.14,Medium
CASE/3987/2019,MAH-MUM-10,Maharashtra,Mumbai,JDG-477,Appeal,Commercial,Sessions,Judgment,6,2022-06-12,933,75,27,11,0.407,1,0,356,365,568,103,64.42,High
CASE/5765/2022,MAD-GWA-14,Madhya Pradesh,Gwalior,JDG-357,Writ,General_Civil,Full_Bench,Arguments,5,2018-01-14,2543,74,59,23,0.39,0,0,837,2190,353,10,59.92,High
CASE/8780/2017,TAM-CHE-07,Tamil Nadu,Chennai,JDG-856,Civil,Matrimonial,Division_Bench,Judgment,6,2017-02-23,2868,50,58,14,0.241,0,0,520,1825,1043,153,49.84,Medium
CASE/4637/2016,MAD-GWA-19,Madhya Pradesh,Gwalior,JDG-332,Revision,General_Civil,Full_Bench,Judgment,6,2017-03-06,2857,143,54,16,0.296,0,0,1115,2190,667,77,40.69,Medium
CASE/8752/2017,GUJ-SUR-10,Gujarat,Surat,JDG-155,Execution,POCSO,Single_Judge,Execution,7,2018-01-28,2529,2,71,23,0.324,0,0,99,365,2164,65,42.85,Medium
CASE/0201/2024,BIH-MUZ-05,Bihar,Muzaffarpur,JDG-590,Civil,Property_Dispute,Magistrate,Execution,7,2018-03-10,2488,12,64,28,0.438,0,0,1477,2920,0,81,50.34,High
CASE/7828/2016,MAD-GWA-06,Madhya Pradesh,Gwalior,JDG-603,Writ,POCSO,Magistrate,Judgment,6,2015-09-25,3385,7,99,34,0.343,0,0,134,365,3020,52,46.89,Medium
CASE/4979/2016,UTT-LUC-05,Uttar Pradesh,Lucknow,JDG-671,Revision,Senior_Citizen,Single_Judge,Arguments,5,2017-10-13,2636,7,63,26,0.413,0,0,76,180,2456,34,59.97,High
CASE/7254/2019,WES-HOW-17,West Bengal,Howrah,JDG-412,Appeal,Motor_Accident,Magistrate,Execution,7,2021-08-07,1242,83,28,3,0.107,0,0,629,1825,0,90,26.39,Medium
CASE/3458/2019,DEL-CEN-20,Delhi,Central,JDG-260,Criminal,SC_ST,Single_Judge,Arguments,5,2022-05-29,947,3,32,8,0.25,0,0,238,730,217,82,50.95,High
CASE/0044/2021,TAM-COI-18,Tamil Nadu,Coimbatore,JDG-581,Criminal,SC_ST,Sessions,Execution,7,2020-01-20,1807,26,50,17,0.34,0,0,250,730,1077,60,47.84,Medium
CASE/4633/2022,RAJ-JAI-08,Rajasthan,Jaipur,JDG-370,Execution,NDPS,Division_Bench,Judgment,6,2015-10-19,3361,38,93,36,0.387,0,0,494,1095,2266,103,48.77,Medium
CASE/3684/2017,DEL-SOU-14,Delhi,South,JDG-173,Revision,SC_ST,Division_Bench,Execution,7,2017-12-24,2564,8,68,25,0.368,0,0,157,730,1834,48,44.96,Medium
CASE/9326/2019,MAH-PUN-10,Maharashtra,Pune,JDG-579,Execution,General_Criminal,Single_Judge,Judgment,6,2019-12-04,1854,72,30,11,0.367,0,0,446,730,1124,87,50.18,High
CASE/8091/2022,RAJ-KOT-09,Rajasthan,Kota,JDG-140,Revision,General_Civil,Sessions,Judgment,6,2015-11-26,3323,235,75,21,0.28,1,0,1223,2190,1133,41,59.25,High
CASE/1497/2018,WES-DUR-20,West Bengal,Durgapur,JDG-701,Civil,NDPS,Sessions,Execution,7,2022-07-24,891,188,24,7,0.292,1,0,301,1095,0,10,47.34,Medium
CASE/7709/2023,MAH-NAG-19,Maharashtra,Nagpur,JDG-384,Criminal,POCSO,Magistrate,Execution,7,2022-04-22,984,3,15,9,0.6,0,0,132,365,619,10,49.35,Medium
CASE/5701/2021,KAR-MAN-16,Karnataka,Mangaluru,JDG-786,Appeal,SC_ST,Full_Bench,Judgment,6,2018-09-27,2287,0,60,17,0.283,0,0,208,730,1557,10,47.98,Medium
CASE/8118/2019,UTT-ALL-11,Uttar Pradesh,Allahabad,JDG-933,Execution,Motor_Accident,Magistrate,Execution,7,2022-06-06,939,129,24,8,0.333,0,0,640,1825,0,52,28.92,Medium
CASE/4136/2020,BIH-PAT-15,Bihar,Patna,JDG-985,Writ,SC_ST,Magistrate,Arguments,5,2016-04-19,3178,18,59,19,0.322,0,0,222,730,2448,10,49.26,Medium
CASE/0889/2018,BIH-PAT-18,Bihar,Patna,JDG-737,Appeal,Property_Dispute,Full_Bench,Execution,7,2020-10-24,1529,15,35,13,0.371,0,0,1233,2920,0,60,31.56,Medium
CASE/8999/2017,MAD-JAB-02,Madhya Pradesh,Jabalpur,JDG-815,Writ,Commercial,Magistrate,Execution,7,2018-03-25,2473,68,51,13,0.255,1,0,254,365,2108,10,63.07,High
CASE/2595/2019,MAD-BHO-01,Madhya Pradesh,Bhopal,JDG-665,Criminal,General_Criminal,Single_Judge,Execution,7,2021-03-06,1396,119,40,18,0.45,1,1,450,730,666,10,81.47,Critical
CASE/1925/2017,WES-KOL-08,West Bengal,Kolkata,JDG-621,Appeal,SC_ST,Full_Bench,Execution,7,2020-08-03,1611,18,42,11,0.262,0,0,179,730,881,10,46.01,Medium
CASE/7484/2023,RAJ-KOT-16,Rajasthan,Kota,JDG-295,Criminal,Property_Dispute,Magistrate,Judgment,6,2016-08-15,3060,137,72,18,0.25,0,0,1231,2920,140,28,47.82,Medium
CASE/5569/2023,DEL-SOU-03,Delhi,South,JDG-389,Appeal,NDPS,Single_Judge,Execution,7,2017-12-30,2558,9,66,18,0.273,0,0,499,1095,1463,63,42.44,Medium
CASE/7936/2020,RAJ-KOT-05,Rajasthan,Kota,JDG-881,Revision,Property_Dispute,Sessions,Arguments,5,2018-09-23,2291,119,50,21,0.42,0,0,1374,2920,0,28,32.46,Medium
CASE/3913/2024,BIH-BHA-15,Bihar,Bhagalpur,JDG-976,Criminal,Matrimonial,Division_Bench,Execution,7,2019-04-18,2084,19,48,11,0.229,0,0,602,1825,259,10,48.97,Medium
CASE/6247/2021,WES-KOL-11,West Bengal,Kolkata,JDG-607,Execution,Property_Dispute,Division_Bench,Arguments,5,2022-06-11,934,202,18,9,0.5,0,0,1086,2920,0,257,29.95,Medium
CASE/1645/2022,MAH-PUN-17,Maharashtra,Pune,JDG-567,Writ,General_Criminal,Sessions,Execution,7,2016-02-13,3244,1,79,34,0.43,0,0,621,730,2514,52,47.46,Medium
CASE/7693/2019,MAH-PUN-14,Maharashtra,Pune,JDG-809,Civil,Senior_Citizen,Sessions,Execution,7,2018-10-18,2266,1,51,30,0.588,0,0,96,180,2086,10,54.8,High
CASE/5189/2022,WES-KOL-11,West Bengal,Kolkata,JDG-732,Appeal,General_Civil,Single_Judge,Arguments,5,2021-01-25,1436,25,33,12,0.364,0,0,1150,2190,0,10,26.91,Medium
CASE/1481/2021,UTT-ALL-10,Uttar Pradesh,Allahabad,JDG-554,Execution,Commercial,Single_Judge,Execution,7,2016-02-08,3249,2,73,27,0.37,0,0,328,365,2884,57,49.79,Medium
CASE/0920/2019,KAR-HUB-01,Karnataka,Hubballi,JDG-541,Writ,POCSO,Full_Bench,Execution,7,2019-01-08,2184,9,40,14,0.35,0,0,146,365,1819,21,47.13,Medium
CASE/2951/2017,KAR-MYS-17,Karnataka,Mysuru,JDG-724,Revision,Motor_Accident,Single_Judge,Execution,7,2016-12-18,2935,6,69,16,0.232,0,0,740,1825,1110,71,39.74,Medium
CASE/3805/2022,WES-HOW-16,West Bengal,Howrah,JDG-570,Criminal,General_Criminal,Full_Bench,Judgment,6,2022-02-25,1040,2,25,13,0.52,0,1,404,730,310,144,64.53,High
CASE/8956/2017,RAJ-JAI-15,Rajasthan,Jaipur,JDG-453,Execution,NDPS,Magistrate,Execution,7,2015-10-30,3350,12,68,21,0.309,0,0,464,1095,2255,33,56.89,High
CASE/4950/2018,DEL-NOR-14,Delhi,North,JDG-209,Appeal,NDPS,Magistrate,Judgment,6,2019-04-25,2077,0,51,18,0.353,0,0,309,1095,982,10,46.12,Medium
CASE/4848/2019,TAM-SAL-19,Tamil Nadu,Salem,JDG-381,Revision,Matrimonial,Magistrate,Arguments,5,2015-03-31,3563,123,80,30,0.375,1,0,680,1825,1738,230,67.09,High
CASE/3771/2024,MAH-MUM-20,Maharashtra,Mumbai,JDG-324,Writ,Property_Dispute,Full_Bench,Notice,2,2023-12-29,368,118,13,5,0.385,0,0,1437,2920,0,1058,19.62,Low
CASE/0646/2019,TAM-MAD-05,Tamil Nadu,Madurai,JDG-134,Execution,SC_ST,Magistrate,Execution,7,2023-11-05,422,11,8,3,0.375,0,0,169,730,0,26,35.6,Medium
CASE/5353/2021,DEL-NOR-05,Delhi,North,JDG-235,Writ,SC_ST,Division_Bench,Judgment,6,2016-12-20,2933,13,72,24,0.333,0,0,246,730,2203,10,41.57,Medium
CASE/2696/2019,BIH-MUZ-17,Bihar,Muzaffarpur,JDG-864,Writ,General_Civil,Full_Bench,Execution,7,2020-05-27,1679,4,43,15,0.349,0,0,1155,2190,0,97,38.84,Medium
CASE/3697/2021,GUJ-AHM-15,Gujarat,Ahmedabad,JDG-192,Criminal,SC_ST,Full_Bench,Execution,7,2021-04-01,1370,17,24,4,0.167,0,0,155,730,640,135,47.19,Medium
CASE/7452/2020,WES-KOL-09,West Bengal,Kolkata,JDG-698,Civil,General_Civil,Full_Bench,Execution,7,2022-07-18,897,485,33,19,0.576,1,0,1188,2190,0,107,28.42,Medium
CASE/0411/2024,WES-DUR-04,West Bengal,Durgapur,JDG-724,Appeal,Commercial,Full_Bench,Judgment,6,2021-04-18,1353,14,32,7,0.219,0,0,368,365,988,10,48.33,Medium
CASE/6690/2016,TAM-CHE-15,Tamil Nadu,Chennai,JDG-138,Execution,NDPS,Single_Judge,Execution,7,2016-07-26,3080,4,76,33,0.434,0,0,443,1095,1985,34,58.7,High
CASE/8808/2017,RAJ-KOT-04,Rajasthan,Kota,JDG-479,Criminal,SC_ST,Magistrate,Arguments,5,2019-05-11,2061,39,56,27,0.482,1,0,245,730,1331,76,72.45,High
CASE/1623/2022,BIH-BHA-19,Bihar,Bhagalpur,JDG-386,Appeal,Senior_Citizen,Magistrate,Arguments,5,2021-11-26,1131,1,24,14,0.583,0,0,89,180,951,10,46.31,Medium
CASE/3869/2020,MAH-NAG-07,Maharashtra,Nagpur,JDG-657,Appeal,Property_Dispute,Full_Bench,Execution,7,2016-02-11,3246,65,77,28,0.364,0,0,885,2920,326,10,48.83,Medium
CASE/2002/2022,GUJ-AHM-13,Gujarat,Ahmedabad,JDG-757,Criminal,NDPS,Division_Bench,Judgment,6,2016-01-11,3277,64,76,35,0.461,0,1,315,1095,2182,48,59.73,High
CASE/2064/2024,DEL-CEN-02,Delhi,Central,JDG-949,Criminal,Matrimonial,Single_Judge,Execution,7,2017-04-20,2812,43,63,26,0.413,0,0,600,1825,987,19,54.56,High
CASE/5384/2017,BIH-GAY-19,Bihar,Gaya,JDG-102,Criminal,Commercial,Sessions,Execution,7,2023-11-05,422,77,8,3,0.375,1,0,314,365,57,10,67.2,High
CASE/2859/2016,RAJ-JOD-05,Rajasthan,Jodhpur,JDG-234,Writ,General_Civil,Single_Judge,Execution,7,2022-05-31,945,194,22,8,0.364,1,0,1160,2190,0,73,28.15,Medium
CASE/0259/2017,MAH-NAG-08,Maharashtra,Nagpur,JDG-229,Writ,General_Criminal,Single_Judge,Execution,7,2017-12-22,2566,0,63,23,0.365,0,0,534,730,1836,10,41.89,Medium
